C:\Documents and Settings\Amirreza Amighi\Desktop\Brooks\Experiments\PDPA\Brooks_PDPA\1mm splash\110.7-1522\267
"Diameter (um)", "AB Phase (deg)", "AC Phase (deg)", "Intensity (mV)", "Time Ch. 1 (sec)", "Time Ch. 2 (sec)"
263.462738, 108.896484, 19.248047, 269.531250, 0.050680, 0.050679
263.412048, 119.091797, 8.964844, 369.698669, 0.050884, 0.050887
265.343750, 110.390625, 21.093750, 207.589279, 0.050897, 0.050901
249.142426, 111.533203, -9.228516, 657.366089, 0.051096, 0.051110
256.036926, 113.291016, 1.406250, 648.716492, 0.051334, 0.051339
240.793167, 108.457031, -21.181641, 623.046875, 0.051525, 0.051534
260.767548, 113.027344, 10.283203, 594.028992, 0.051748, 0.051753
260.837067, 110.302734, 13.095703, 551.339294, 0.051771, 0.051775
261.782715, 108.193359, 16.875000, 299.386169, 0.051788, 0.051783
268.474548, 121.025391, 16.171875, 219.308029, 0.052010, 0.052005
268.681854, 125.507813, 11.953125, 672.153992, 0.052195, 0.052209
268.397705, 119.003906, 18.017578, 327.008942, 0.052231, 0.052230
248.229538, 103.447266, -2.812500, 618.024536, 0.052657, 0.052636
246.960632, 96.152344, 2.197266, 584.263367, 0.052885, 0.052864
261.288879, 104.150391, 20.039063, 143.973221, 0.052900, 0.052899
243.065384, 99.228516, -7.910156, 492.745544, 0.053319, 0.053324
262.483643, 112.148438, 14.238281, 240.513397, 0.053784, 0.053782
256.552643, 109.423828, 6.240234, 134.765625, 0.054006, 0.054002
273.738739, 117.861328, 28.828125, 290.457581, 0.054226, 0.054217
246.920532, 95.976563, 2.285156, 588.448669, 0.054428, 0.054435
240.730881, 110.390625, -23.291016, 636.160706, 0.054628, 0.054640
260.243195, 115.224609, 7.119141, 426.897308, 0.054878, 0.054861
258.855988, 110.830078, 8.964844, 508.649567, 0.055098, 0.055096
238.148300, 100.722656, -18.281250, 659.877258, 0.055522, 0.055516
257.473114, 117.509766, -0.175781, 623.883911, 0.055753, 0.055766
255.729218, 104.941406, 9.228516, 421.875000, 0.055984, 0.055987
279.938019, 129.199219, 28.652344, 455.357147, 0.056206, 0.056209
249.842621, 107.666016, -4.130859, 410.714294, 0.056420, 0.056424
249.599838, 97.646484, 5.449219, 450.613831, 0.057091, 0.057095
257.078979, 109.863281, 6.767578, 247.209824, 0.057318, 0.057316
271.256836, 119.707031, 22.500000, 534.598206, 0.057525, 0.057514
249.766785, 97.646484, 5.800781, 190.848221, 0.057550, 0.057544
234.357697, 92.900391, -17.314453, 553.571411, 0.057738, 0.057730
257.248901, 105.205078, 11.689453, 342.633942, 0.057751, 0.057754
263.127197, 110.917969, 16.611328, 192.243301, 0.057766, 0.057763
264.318939, 124.716797, 4.921875, 695.033508, 0.057953, 0.057963
268.194672, 124.980469, 11.689453, 252.511154, 0.057985, 0.057985
274.683716, 125.683594, 22.675781, 365.513397, 0.058207, 0.058205
264.637939, 124.804688, 5.449219, 358.537933, 0.058417, 0.058413
242.688766, 91.669922, -1.054688, 414.062500, 0.058631, 0.058629
226.095215, 83.496094, -22.851563, 602.678589, 0.058828, 0.058845
246.137833, 95.273438, 1.582031, 260.323669, 0.059092, 0.059090
271.836182, 126.562500, 16.699219, 337.890625, 0.059312, 0.059308
268.305939, 118.388672, 18.457031, 248.046875, 0.059536, 0.059532
254.722931, 100.634766, 11.689453, 166.015625, 0.059542, 0.059538
249.481262, 114.345703, -11.425781, 573.102661, 0.059929, 0.059938
227.934860, 100.283203, -36.298828, 438.058044, 0.060141, 0.060146
245.321030, 94.482422, 0.878906, 179.408478, 0.060185, 0.060179
277.582001, 128.232422, 25.400391, 275.390625, 0.060656, 0.060659
259.908966, 99.404297, 22.236328, 332.868317, 0.060841, 0.060837
254.304947, 108.369141, 3.251953, 612.723206, 0.061056, 0.061057
263.613434, 114.082031, 14.326172, 369.140625, 0.061084, 0.061085
259.245209, 109.951172, 10.546875, 579.520081, 0.061268, 0.061276
243.065704, 101.601563, -10.283203, 676.339294, 0.061740, 0.061742
264.147064, 125.332031, 4.042969, 594.308044, 0.061935, 0.061949
264.534912, 113.466797, 16.611328, 209.542404, 0.061975, 0.061979
253.922699, 107.226563, 3.691406, 210.100449, 0.062194, 0.062190
257.628143, 103.535156, 14.062500, 240.792404, 0.062413, 0.062413
264.627991, 117.333984, 12.919922, 127.790176, 0.062423, 0.062423
258.361176, 118.125000, 0.791016, 601.562500, 0.062604, 0.062610
264.470642, 120.234375, 9.755859, 246.651779, 0.062632, 0.062635
256.551636, 114.257813, 1.406250, 563.058044, 0.062848, 0.062843
255.144608, 111.357422, 1.757813, 313.337067, 0.063072, 0.063073
264.015533, 111.005859, 18.105469, 180.245529, 0.063092, 0.063085
254.850128, 98.789063, 13.798828, 186.941971, 0.063290, 0.063284
258.551636, 116.455078, 2.812500, 633.649536, 0.063499, 0.063505
272.371796, 123.222656, 21.005859, 205.915176, 0.063530, 0.063525
259.711578, 106.962891, 14.414063, 212.332596, 0.063745, 0.063739
248.914520, 103.798828, -1.933594, 469.029022, 0.063947, 0.063953
266.962494, 117.685547, 16.787109, 279.854919, 0.063960, 0.063959
242.002457, 102.744141, -13.359375, 671.875000, 0.064157, 0.064167
260.072601, 99.667969, 22.324219, 265.625000, 0.064190, 0.064183
248.413727, 107.314453, -6.328125, 625.837036, 0.064395, 0.064402
247.843002, 104.150391, -4.218750, 676.060242, 0.064807, 0.064819
242.486374, 91.054688, -0.791016, 365.513397, 0.064846, 0.064843
262.302094, 109.423828, 16.611328, 311.941956, 0.065284, 0.065288
220.360703, 106.435547, -56.074219, 501.395081, 0.065460, 0.065480
250.923080, 106.611328, -1.142578, 568.359375, 0.065704, 0.065714
264.209625, 122.080078, 7.382813, 198.660721, 0.065738, 0.065739
279.274231, 124.628906, 32.080078, 266.741058, 0.065948, 0.065948
282.702454, 131.923828, 30.937500, 186.104904, 0.066175, 0.066171
240.586456, 92.460938, -5.625000, 208.705353, 0.066398, 0.066393
262.382263, 117.333984, 8.876953, 131.138397, 0.066839, 0.066837
269.503998, 121.201172, 17.841797, 274.553558, 0.067065, 0.067063
259.298859, 116.191406, 4.394531, 359.095978, 0.067263, 0.067267
241.263824, 97.646484, -9.580078, 215.401779, 0.067286, 0.067278
253.966751, 107.402344, 3.603516, 315.011169, 0.067501, 0.067500
246.178925, 97.119141, -0.175781, 683.593750, 0.067698, 0.067701
259.473419, 105.380859, 15.556641, 220.424103, 0.067728, 0.067727
259.446930, 121.640625, -0.703125, 155.691971, 0.067732, 0.067731
252.067505, 99.843750, 7.734375, 398.995544, 0.067943, 0.067946
254.118454, 103.535156, 7.734375, 201.729904, 0.067957, 0.067952
252.448410, 107.314453, 0.966797, 476.004456, 0.068372, 0.068358
241.030655, 105.380859, -17.753906, 306.082581, 0.068580, 0.068574
255.582474, 97.998047, 15.908203, 362.165192, 0.068828, 0.068820
240.145935, 90.878906, -4.833984, 257.254456, 0.068845, 0.068846
